X[m], Tg[K], Pg[Pa], Rhog[kg/m^3], Rd[m], Yf, Ug[m/s], HRR
0.0103976679 2326.688887 2207745.710692 3.256917 4.344050e-06 2.585745e-07 471.100460 2.102832e+11
0.0109963565 2370.420435 2185705.834978 3.163688 4.279925e-06 2.345082e-07 485.909127 1.999609e+11
0.0115950451 2411.467054 2163886.774290 3.077474 4.215578e-06 1.436017e-07 500.452264 1.970912e+11
0.0121937337 2449.809156 2142286.814470 2.997720 4.151639e-06 1.048396e-07 514.656532 1.863831e+11
0.0127924223 2485.347889 2121219.565505 2.924496 4.088998e-06 9.243704e-08 528.411272 1.734608e+11
0.0134807174 2522.643325 2098003.941577 2.848462 4.020541e-06 7.229815e-08 543.415767 1.623789e+11
0.0140514000 2550.395976 2080155.599438 2.792850 3.969466e-06 4.443225e-08 554.905708 1.433116e+11
0.0142074375 2557.347993 2075532.990407 2.778876 3.955579e-06 4.869808e-08 557.884698 1.410080e+11
0.0143634749 2564.068189 2070863.195953 2.764995 3.940354e-06 5.302065e-08 560.893364 1.430938e+11
0.0145195124 2570.728004 2066031.848924 2.750854 3.923754e-06 5.221612e-08 564.002217 1.465638e+11
0.0146755498 2577.422122 2061011.569346 2.736368 3.906014e-06 5.233376e-08 567.227102 1.497076e+11
0.0148315873 2584.172714 2055818.876132 2.721585 3.887340e-06 5.458766e-08 570.558803 1.521149e+11
0.0149999675 2591.524914 2050036.214671 2.705349 3.866275e-06 5.471642e-08 574.265452 1.552303e+11
0.0151683477 2598.956039 2044067.049922 2.688828 3.844335e-06 5.368557e-08 578.087748 1.584378e+11
0.0153367279 2606.472417 2037913.048165 2.672038 3.821598e-06 5.319209e-08 582.022540 1.612893e+11
0.0155051081 2614.062058 2031582.669731 2.655016 3.798139e-06 5.076147e-08 586.064640 1.647097e+11
0.0158501933 2629.789105 2018122.145182 2.619622 3.748185e-06 4.906508e-08 594.642882 1.685419e+11
0.0161952785 2645.629512 2004084.251954 2.583806 3.696057e-06 4.618432e-08 603.563003 1.710713e+11
