X[m], Tg[K], Pg[Pa], Rhog[kg/m^3], Rd[m], Yf, Ug[m/s], HRR
0.0000000000 1685.960567 3221379.782400 6.630111 2.500000e-06 0.000000e+00 316.699781 -4.298423e+03
0.0000284078 1689.798531 3227648.814718 6.627926 2.499999e-06 4.955470e-08 316.804236 -1.390328e+07
0.0000568157 1693.376458 3233757.837873 6.626441 2.499998e-06 8.353177e-08 316.875289 -2.612987e+07
0.0000852235 1696.709154 3239712.631815 6.625603 2.499996e-06 1.118774e-07 316.915358 -3.791838e+07
0.0001902857 1707.350431 3260540.273223 6.626638 2.499985e-06 2.332789e-07 316.866126 -9.766139e+07
0.0002953478 1715.444415 3279378.023544 6.633477 2.499962e-06 4.905678e-07 316.540539 -2.226128e+08
0.0004004100 1721.398659 3296233.136145 6.644509 2.499913e-06 8.858500e-07 316.016979 -4.593838e+08
0.0005054722 1725.614772 3311210.786042 6.658393 2.499817e-06 1.736404e-06 315.361170 -9.169801e+08
0.0006717130 1729.522572 3331509.676698 6.684071 2.499463e-06 4.376790e-06 314.158806 -2.360751e+09
0.0008096603 1730.390134 3344235.456132 6.706226 2.498816e-06 8.307983e-06 313.136883 -4.372526e+09
0.0009152531 1730.003132 3351989.642889 6.723257 2.497944e-06 1.310956e-05 312.365560 -6.110078e+09
0.0010208458 1729.168661 3359067.060141 6.740658 2.496577e-06 2.033774e-05 311.593518 -6.877933e+09
0.0011264386 1728.145853 3365879.740400 6.758223 2.494540e-06 3.009722e-05 310.834385 -4.048490e+09
0.0012320313 1727.147480 3372395.914085 6.774990 2.491656e-06 4.140976e-05 310.136384 6.382795e+09
0.0013171168 1726.560677 3377289.168046 6.786769 2.488602e-06 5.020419e-05 309.673354 2.323535e+10
0.0014022023 1726.398560 3381717.057360 6.795712 2.484814e-06 5.934339e-05 309.358939 4.753771e+10
0.0014872878 1726.864659 3385581.209497 6.800727 2.480233e-06 6.862968e-05 309.243069 7.761840e+10
0.0015723733 1728.108082 3388813.068265 6.801013 2.474816e-06 7.730196e-05 309.362306 1.114834e+11
0.0016574588 1730.209598 3391371.402099 6.796133 2.468538e-06 8.496222e-05 309.737170 1.477832e+11
0.0017425443 1733.215022 3393227.519205 6.785846 2.461384e-06 9.138253e-05 310.379998 1.856688e+11
0.0018438276 1738.007378 3394494.543229 6.766397 2.451728e-06 9.696026e-05 311.505254 2.319780e+11
0.0019451108 1744.160965 3394705.308978 6.738980 2.440846e-06 9.987529e-05 313.034122 2.797849e+11
0.0020463940 1751.738193 3393816.771947 6.703400 2.428768e-06 9.992240e-05 314.984729 3.301475e+11
0.0021476773 1760.842873 3391763.453256 6.659301 2.415536e-06 9.713028e-05 317.386231 3.845915e+11
0.0022489605 1771.634759 3388448.822036 6.606106 2.401198e-06 9.177463e-05 320.282891 4.444483e+11
0.0023782650 1788.239609 3382167.658913 6.523612 2.381384e-06 8.156810e-05 324.805145 5.322823e+11
0.0025075694 1808.665506 3373192.749295 6.422399 2.360002e-06 6.836486e-05 330.433883 6.401030e+11
0.0026034008 1826.850317 3364432.462951 6.333230 2.343236e-06 5.733841e-05 335.483609 7.391098e+11
0.0026992323 1848.330945 3353464.820255 6.229588 2.325772e-06 4.670177e-05 341.481040 8.614894e+11
0.0027748438 1868.080003 3342946.867948 6.136138 2.311557e-06 3.862262e-05 347.020216 9.743142e+11
0.0028504554 1890.604393 3330583.085948 6.031910 2.297010e-06 3.039273e-05 353.364600 1.095570e+12
0.0029077579 1909.505346 3319972.269452 5.946481 2.285798e-06 2.491267e-05 358.708393 1.178783e+12
0.0029650604 1929.676441 3308472.989099 5.857483 2.274447e-06 2.027064e-05 364.429237 1.240484e+12
0.0030223629 1950.636333 3296382.027347 5.767480 2.262979e-06 1.655408e-05 370.390368 1.273373e+12
0.0030636732 1965.947897 3287486.294513 5.703372 2.254648e-06 1.425394e-05 374.754564 1.284110e+12
0.0031049836 1981.233929 3278552.502693 5.640721 2.246270e-06 1.230144e-05 379.119716 1.284711e+12
0.0031462940 1996.374253 3269652.852029 5.579954 2.237847e-06 1.074251e-05 383.453071 1.275328e+12
0.0031876043 2011.303896 3260834.653081 5.521250 2.229383e-06 9.510367e-06 387.737989 1.256296e+12
0.0032289147 2026.009055 3252097.940402 5.464549 2.220882e-06 8.278530e-06 391.970854 1.252046e+12
0.0032702251 2040.527979 3243411.755880 5.409600 2.212348e-06 7.262752e-06 396.161677 1.250673e+12
0.0033183936 2057.305023 3233299.280413 5.347322 2.202359e-06 6.350384e-06 401.019614 1.246414e+12
0.0033665621 2073.994365 3223173.417558 5.286619 2.192339e-06 5.618564e-06 405.871253 1.242777e+12
0.0034147306 2090.665509 3212996.238059 5.227156 2.182296e-06 5.010476e-06 410.739975 1.241118e+12
0.0034628992 2107.358603 3202746.115716 5.168721 2.172242e-06 4.594406e-06 415.641451 1.234801e+12
0.0035370632 2133.117640 3186730.361695 5.080436 2.156766e-06 3.493419e-06 423.260652 1.266616e+12
0.0036112271 2158.893301 3170370.953810 4.994062 2.141342e-06 2.500187e-06 430.957724 1.299340e+12
0.0036853911 2184.501558 3153850.805422 4.910151 2.126032e-06 2.187610e-06 438.696370 1.265098e+12
0.0037595551 2209.719369 3137349.692306 4.829295 2.110909e-06 1.916765e-06 446.420699 1.245421e+12
0.0038337191 2234.374809 3120911.881014 4.751725 2.096068e-06 1.453116e-06 454.072529 1.246217e+12
0.0039367449 2267.313525 3098487.987821 4.650311 2.076251e-06 1.108158e-06 464.454385 1.182943e+12
0.0040397708 2298.329881 3077077.536806 4.557502 2.058159e-06 8.682018e-07 474.363990 1.087732e+12
0.0040964223 2314.422698 3065826.876061 4.510265 2.048684e-06 7.532042e-07 479.575537 1.052778e+12
0.0041363254 2325.304267 3058027.567671 4.478321 2.041558e-06 7.122594e-07 483.175660 1.053832e+12
0.0041762286 2335.970257 3050157.408230 4.446748 2.033790e-06 7.255650e-07 486.799242 1.064758e+12
0.0042161317 2346.553265 3042127.088146 4.415132 2.025416e-06 7.956914e-07 490.493465 1.071671e+12
0.0042560348 2357.112218 3033924.791933 4.383374 2.016504e-06 9.790394e-07 494.273957 1.062755e+12
0.0043000846 2368.768117 3024633.819677 4.348081 2.006109e-06 7.404879e-07 498.550345 1.096840e+12
0.0043441343 2380.425724 3015111.086831 4.312612 1.995191e-06 3.206271e-07 502.929323 1.149054e+12
0.0043881841 2392.069552 3005381.752937 4.277076 1.983803e-06 8.080640e-07 507.399299 1.107738e+12
0.0044322338 2403.682023 2995468.857586 4.241557 1.971989e-06 6.954313e-07 511.952288 1.122867e+12
0.0044454487 2407.159579 2992453.242415 4.230900 1.968368e-06 6.435704e-07 513.333416 1.130656e+12
0.0044586636 2410.635399 2989413.856347 4.220234 1.964714e-06 6.203425e-07 514.721530 1.134519e+12
0.0044718786 2414.108296 2986356.274254 4.209570 1.961026e-06 6.319747e-07 516.116379 1.134347e+12
0.0044850935 2417.576861 2983283.470356 4.198916 1.957307e-06 6.110564e-07 517.517630 1.137197e+12
0.0044983084 2421.040353 2980196.923452 4.188276 1.953557e-06 6.187738e-07 518.924976 1.136897e+12
0.0045451848 2433.277580 2969137.663473 4.150661 1.940027e-06 5.837022e-07 523.962082 1.141181e+12
0.0045920612 2445.429610 2957916.822544 4.113283 1.926162e-06 5.461928e-07 529.064397 1.143864e+12
0.0046389375 2457.479160 2946552.271234 4.076204 1.911998e-06 5.101643e-07 534.223253 1.144287e+12
0.0046858139 2469.407679 2935064.091047 4.039487 1.897569e-06 4.795406e-07 539.429464 1.142289e+12
0.0048142398 2501.330961 2903113.839860 3.941171 1.856917e-06 4.271634e-07 553.866287 1.123398e+12
0.0049426656 2531.877503 2870818.367189 3.847001 1.815062e-06 4.636611e-07 568.421130 1.074509e+12
0.0050710915 2560.794196 2838459.596183 3.757511 1.772444e-06 2.893907e-07 582.952624 1.058299e+12
0.0051995173 2587.903844 2806333.431658 3.673054 1.729378e-06 0.000000e+00 597.333169 1.089678e+12
0.0053279432 2613.051158 2774734.024513 3.593899 1.686074e-06 2.953058e-07 611.520658 9.228461e+11
0.0055521882 2652.403264 2720970.989985 3.467412 1.610220e-06 0.000000e+00 635.597779 9.471230e+11
0.0057764333 2686.238363 2669371.788421 3.354676 1.534404e-06 1.046786e-07 658.548387 7.917934e+11
0.0060006783 2714.998515 2620209.778819 3.254246 1.458691e-06 1.021255e-07 680.309935 6.983690e+11
0.0062249233 2739.220051 2573599.766097 3.164660 1.382952e-06 0.000000e+00 700.936254 6.864936e+11
0.0064491684 2759.589682 2529509.903698 3.084370 1.306975e-06 5.979759e-08 720.415544 5.602450e+11
0.0067670007 2782.857320 2471203.339867 2.984211 1.198346e-06 5.451021e-08 746.183756 4.672470e+11
0.0070848331 2800.735301 2417492.032981 2.897452 1.087749e-06 0.000000e+00 769.950345 4.348041e+11
0.0074026654 2814.457008 2368277.913530 2.821968 9.739186e-07 3.228193e-08 791.730295 3.337808e+11
0.0077204977 2824.883173 2323268.090437 2.756057 8.550458e-07 3.114009e-08 811.680438 2.731307e+11
0.0080383300 2832.786803 2282330.747021 2.698482 7.283581e-07 0.000000e+00 829.871106 2.536890e+11
0.0085482281 2842.025169 2225807.312063 2.622102 4.930816e-07 1.142370e-08 855.046867 1.706049e+11
0.0087011975 2844.321727 2211105.708211 2.602715 4.106175e-07 8.750840e-09 861.590989 1.533586e+11
0.0088541669 2846.494710 2197565.148490 2.585009 3.174763e-07 4.151720e-10 867.621222 1.430472e+11
0.0090071363 2848.618808 2185270.704745 2.569027 2.092822e-07 1.003543e-09 873.100271 1.237377e+11
0.0090530271 2849.258845 2181843.448953 2.564581 1.738961e-07 2.127648e-09 874.628161 1.169798e+11
0.0090989179 2849.903386 2178547.590063 2.560307 1.398315e-07 1.244747e-09 876.097469 1.122294e+11
0.0091448088 2850.550215 2175391.207398 2.556215 1.125225e-07 0.000000e+00 877.504595 1.078557e+11
0.0091906996 2851.190788 2172388.869719 2.552326 1.026091e-07 8.799432e-11 878.843056 1.021498e+11
0.0092365904 2851.811525 2169552.863065 2.548660 1.006250e-07 8.138654e-11 880.107374 9.690657e+10
0.0092587676 2852.101404 2168239.205783 2.546966 9.982751e-08 4.886437e-11 880.693017 9.473646e+10
0.0092809448 2852.384938 2166954.831188 2.545311 9.911854e-08 1.859094e-11 881.265603 9.277542e+10
0.0093031219 2852.662613 2165696.207821 2.543692 9.874449e-08 3.968061e-12 881.826708 9.086350e+10
0.0093252991 2852.934629 2164461.906142 2.542106 9.864840e-08 3.231447e-15 882.376971 8.905863e+10
0.0093474763 2853.201085 2163250.893908 2.540551 9.867434e-08 0.000000e+00 882.916851 8.735834e+10
0.0094459411 2854.319979 2158118.086539 2.533984 9.921287e-08 1.100453e-11 885.205095 8.073748e+10
0.0095444059 2855.343821 2153316.359396 2.527871 9.914218e-08 1.863209e-12 887.345773 7.525303e+10
0.0096428706 2856.284208 2148780.374519 2.522124 9.905762e-08 0.000000e+00 889.367983 7.043249e+10
0.0097413354 2857.150161 2144474.688672 2.516692 9.932346e-08 0.000000e+00 891.287480 6.610757e+10
0.0098398002 2857.948663 2140377.433115 2.511545 9.960845e-08 0.000000e+00 893.114045 6.220710e+10
0.0100553983 2859.497852 2132032.055263 2.501122 9.996763e-08 0.000000e+00 896.834289 5.473793e+10
0.0102709963 2860.802999 2124470.921838 2.491755 1.003096e-07 7.499376e-12 900.204917 4.855032e+10
0.0104865943 2861.905523 2117591.076828 2.483294 1.006416e-07 0.000000e+00 903.272022 4.320061e+10
0.0107021924 2862.842978 2111320.165415 2.475632 1.009626e-07 0.000000e+00 906.067681 3.851821e+10
0.0112113304 2864.577847 2098461.462010 2.460054 1.016713e-07 0.000000e+00 911.799845 2.970248e+10
0.0117204685 2865.775913 2087977.668955 2.447506 1.023052e-07 0.000000e+00 916.473627 2.329066e+10
0.0122296065 2866.607986 2079383.516473 2.437324 1.028651e-07 0.000000e+00 920.305299 1.849098e+10
0.0127387445 2867.197258 2072351.932952 2.429057 1.033534e-07 0.000000e+00 923.440776 1.510218e+10
0.0135350636 2867.800910 2063768.601077 2.419042 1.039524e-07 1.794538e-14 927.268784 1.065790e+10
0.0143313826 2868.200445 2057425.568899 2.411672 1.043133e-07 0.000000e+00 930.096371 7.725790e+09
0.0151277016 2868.478553 2052680.515037 2.406173 1.044838e-07 0.000000e+00 932.211271 5.686448e+09
0.0159240207 2868.669145 2049107.946555 2.402044 1.047128e-07 0.000000e+00 933.803510 4.183459e+09
0.0167203397 2868.792673 2046401.157008 2.398931 1.050305e-07 0.000000e+00 935.009859 3.148331e+09
0.0180733928 2868.852699 2042896.130423 2.394965 1.054282e-07 0.000000e+00 936.573873 2.094884e+09
0.0194264459 2868.882034 2040708.424658 2.392495 1.053693e-07 2.543728e-13 937.549988 1.193756e+09
0.0198323619 2868.890260 2040265.384385 2.391993 1.053700e-07 0.000000e+00 937.747560 1.039051e+09
0.0202382778 2868.899113 2039879.782560 2.391555 1.053935e-07 0.000000e+00 937.919480 9.033907e+08
0.0206441938 2868.907251 2039543.771321 2.391173 1.054100e-07 0.000000e+00 938.069278 7.842683e+08
0.0210501097 2868.914297 2039251.306677 2.390841 1.054205e-07 0.000000e+00 938.199662 6.808495e+08
0.0242831368 2868.948521 2037789.848445 2.389181 1.054083e-07 4.318817e-14 938.851220 1.671008e+08
0.0252530449 2868.951391 2037651.168925 2.389023 1.053769e-07 2.811369e-14 938.913043 1.198181e+08
0.0262229530 2868.953019 2037552.195680 2.388911 1.053637e-07 4.561681e-13 938.957138 8.714582e+07
0.0271928611 2868.954225 2037479.870264 2.388829 1.053530e-07 1.193252e-14 938.989367 6.317400e+07
0.0281627693 2868.955119 2037426.942253 2.388769 1.053385e-07 0.000000e+00 939.012960 4.498199e+07
0.0305099546 2868.956404 2037362.195844 2.388696 1.053135e-07 0.000000e+00 939.041828 2.286109e+07
0.0328571399 2868.956955 2037328.597520 2.388658 1.052857e-07 4.630112e-14 939.056800 1.172874e+07
0.0352043253 2868.957187 2037311.071417 2.388638 1.052684e-07 3.321650e-14 939.064607 6.071432e+06
0.0370043253 2868.957221 2037302.964192 2.388629 1.052753e-07 4.183366e-14 939.068212 3.710831e+06
0.0388043253 2868.957273 2037298.347821 2.388623 1.052658e-07 7.114931e-15 939.070269 2.177914e+06
0.0406043253 2868.957309 2037295.638600 2.388620 1.052582e-07 0.000000e+00 939.071477 1.274809e+06
0.0460043253 2868.957357 2037292.828589 2.388617 1.052543e-07 7.399695e-17 939.072729 3.912110e+05
0.0514043253 2868.957370 2037292.011311 2.388616 1.052620e-07 1.206846e-16 939.073093 1.127670e+05
0.0568043253 2868.957373 2037291.867225 2.388616 1.052487e-07 2.336462e-16 939.073158 1.422276e+05
0.0768043253 2868.957396 2037292.864577 2.388617 1.049276e-07 4.903674e-16 939.072747 3.237480e+05
0.0786043253 2868.957403 2037292.891110 2.388617 1.049287e-07 0.000000e+00 939.072736 3.560271e+03
0.0804043253 2868.957406 2037292.908351 2.388617 1.049310e-07 0.000000e+00 939.072728 3.630035e+03
0.0822043253 2868.957402 2037292.896098 2.388617 1.049278e-07 2.368957e-15 939.072734 -1.501475e+04
0.1002043253 2868.957299 2037292.093109 2.388616 1.048495e-07 5.083761e-15 939.073092 -1.349553e+04
0.1182043253 2868.957202 2037291.229838 2.388615 1.047756e-07 4.238263e-15 939.073477 6.597096e+04
0.1236043253 2868.957200 2037291.132429 2.388615 1.047730e-07 0.000000e+00 939.073520 2.078871e+04
0.1290043253 2868.957201 2037291.104000 2.388615 1.047738e-07 0.000000e+00 939.073533 3.759610e+04
0.1344043253 2868.957199 2037291.091551 2.388615 1.047727e-07 2.692066e-16 939.073538 -1.180490e+04
0.1544043253 2868.957198 2037291.078136 2.388615 1.047718e-07 1.095278e-17 939.073544 3.328501e+02
0.1549443253 2868.957198 2037291.077923 2.388615 1.047718e-07 2.596300e-17 939.073544 3.087527e+02
0.1554843253 2868.957198 2037291.077747 2.388615 1.047718e-07 1.422791e-17 939.073544 2.134184e+02
0.1560243253 2868.957198 2037291.077588 2.388615 1.047718e-07 1.654318e-17 939.073545 2.496596e+02
0.1614243253 2868.957198 2037291.075860 2.388615 1.047717e-07 3.142062e-17 939.073545 2.699014e+02
0.1668243253 2868.957198 2037291.073931 2.388615 1.047715e-07 3.453306e-17 939.073546 3.016054e+02
0.1722243253 2868.957198 2037291.071670 2.388615 1.047712e-07 4.174014e-17 939.073547 3.566385e+02
0.1922243253 2868.957196 2037291.061776 2.388615 1.047703e-07 4.661554e-17 939.073552 4.291532e+02
0.1922248355 2868.957196 2037291.061725 2.388615 1.047703e-07 0.000000e+00 939.073552 -1.236546e+04
0.1922253456 2868.957196 2037291.061618 2.388615 1.047704e-07 0.000000e+00 939.073552 3.687101e+03
0.1922258558 2868.957196 2037291.061510 2.388615 1.047704e-07 9.118420e-16 939.073552 -7.557247e+01
0.1922273863 2868.957196 2037291.061135 2.388615 1.047705e-07 0.000000e+00 939.073552 -1.686846e+03
0.1922289167 2868.957196 2037291.060685 2.388615 1.047706e-07 0.000000e+00 939.073552 -8.726317e+03
0.1922304472 2868.957196 2037291.060194 2.388615 1.047708e-07 0.000000e+00 939.073552 -8.241614e+02
