X[m], Tg[K], Pg[Pa], Rhog[kg/m^3], Rd[m], Yf, Ug[m/s], HRR
0.0000000000 1677.505707 3199895.779105 6.619088 5.000000e-06 0.000000e+00 316.189740 -3.603140e+03
0.0000596407 1681.704569 3206118.040294 6.615400 4.999999e-06 1.510027e-08 316.366065 -3.967691e+06
0.0001192814 1685.637538 3212171.139807 6.612426 4.999998e-06 2.002649e-08 316.508411 -6.073418e+06
0.0001789221 1689.319187 3218059.331750 6.610109 4.999997e-06 2.256955e-08 316.619324 -7.427439e+06
0.0004096281 1701.705701 3239438.638537 6.605590 4.999991e-06 2.789658e-08 316.835769 -1.194481e+07
0.0006403340 1711.270930 3258452.514450 6.607222 4.999983e-06 4.843531e-08 316.757965 -2.122972e+07
0.0008710400 1718.509868 3275117.994892 6.613040 4.999971e-06 3.570378e-08 316.480204 -2.522846e+07
0.0011017459 1723.906942 3289578.413475 6.621443 4.999953e-06 1.056864e-07 316.079593 -4.857013e+07
0.0014416989 1729.335783 3307350.962177 6.636315 4.999910e-06 0.000000e+00 315.372205 -3.559434e+07
0.0015869998 1730.628805 3312930.671901 6.642543 4.999884e-06 4.872526e-08 315.076715 -6.189920e+07
0.0017323007 1731.494544 3317484.872445 6.648347 4.999852e-06 1.503922e-07 314.801999 -1.055104e+08
0.0018776017 1732.124983 3321505.936248 6.653981 4.999811e-06 2.703741e-07 314.535967 -1.539265e+08
0.0020229026 1732.618875 3325247.765432 6.659576 4.999761e-06 3.611142e-07 314.272377 -1.930667e+08
0.0022039631 1733.105905 3329672.776333 6.666559 4.999682e-06 4.117811e-07 313.944172 -2.259831e+08
0.0023850236 1733.475156 3333885.619277 6.673566 4.999581e-06 4.011227e-07 313.615851 -2.455808e+08
0.0025660841 1733.742998 3337918.235119 6.680599 4.999452e-06 6.789286e-07 313.287306 -3.287133e+08
0.0027471447 1733.923065 3341790.706258 6.687643 4.999290e-06 6.844975e-07 312.959326 -3.471802e+08
0.0030796376 1734.064538 3348528.283357 6.700549 4.998877e-06 9.536874e-07 312.361743 -3.311522e+08
0.0034121305 1734.001527 3354806.802517 6.713303 4.998273e-06 1.371801e-06 311.775872 -1.301073e+08
0.0037446234 1733.801864 3360646.314386 6.725670 4.997415e-06 1.913209e-06 311.213247 4.778774e+08
0.0040215563 1733.589434 3365175.563114 6.735437 4.996457e-06 2.464797e-06 310.773864 1.476079e+09
0.0042984892 1733.404232 3369390.710795 6.744410 4.995225e-06 3.110212e-06 310.375703 3.061107e+09
0.0045754221 1733.315403 3373275.072929 6.752264 4.993669e-06 3.843575e-06 310.033988 5.308569e+09
0.0048523550 1733.391917 3376809.994972 6.758669 4.991739e-06 4.653093e-06 309.764043 8.230285e+09
0.0053894353 1734.245025 3382603.109236 6.765849 4.986761e-06 6.374518e-06 309.496932 1.539439e+10
0.0058220245 1735.814066 3386201.499082 6.765652 4.981390e-06 7.805208e-06 309.572465 2.208302e+10
0.0062546137 1738.305616 3388825.955694 6.759540 4.974666e-06 9.156603e-06 309.935568 2.948805e+10
0.0066872028 1741.820865 3390462.912416 6.747116 4.966511e-06 1.031583e-05 310.607052 3.775415e+10
0.0071197920 1746.477383 3391087.002945 6.727923 4.956893e-06 1.118237e-05 311.611904 4.673764e+10
0.0075523812 1752.397102 3390667.726846 6.701522 4.945820e-06 1.167609e-05 312.976271 5.649359e+10
0.0080580833 1761.060925 3388821.857857 6.661122 4.931090e-06 1.173571e-05 315.056751 6.878503e+10
0.0085637854 1771.725156 3385490.695138 6.610290 4.914545e-06 1.125027e-05 317.684121 8.170624e+10
0.0090694876 1784.464180 3380677.823922 6.549267 4.896335e-06 1.029465e-05 320.869323 9.483371e+10
0.0095751897 1799.263771 3374438.766827 6.478868 4.876645e-06 9.145958e-06 324.599963 1.071889e+11
0.0100808918 1816.071040 3366851.930356 6.400173 4.855674e-06 7.844038e-06 328.852660 1.192887e+11
0.0106145300 1835.901804 3357469.624756 6.309430 4.832397e-06 6.451859e-06 333.873216 1.323080e+11
0.0111481682 1857.791631 3346764.205998 6.212088 4.808202e-06 5.217946e-06 339.407551 1.445686e+11
0.0116818063 1881.611821 3334853.784775 6.109482 4.783371e-06 4.213602e-06 345.422088 1.545490e+11
0.0122154445 1907.140301 3321858.821689 6.003032 4.758202e-06 3.273554e-06 351.870043 1.641368e+11
0.0127490827 1933.927439 3307971.087507 5.894792 4.733013e-06 2.493763e-06 358.652969 1.712653e+11
0.0133606623 1965.333354 3291399.806101 5.771962 4.704569e-06 1.878888e-06 366.650519 1.718121e+11
0.0139722419 1996.464785 3274706.594187 5.654186 4.677137e-06 1.366258e-06 374.646586 1.676287e+11
0.0145838215 2026.253529 3258509.083444 5.544958 4.651442e-06 1.004642e-06 382.371256 1.576347e+11
0.0151954011 2053.656784 3243422.918243 5.447415 4.628603e-06 6.586011e-07 389.525849 1.432354e+11
0.0158069807 2077.843814 3229989.110363 5.363722 4.609349e-06 4.271236e-07 395.861863 1.241348e+11
0.0160079787 2085.021827 3225939.869480 5.339144 4.603155e-06 4.802926e-07 397.767389 1.218992e+11
0.0162089766 2092.069059 3221863.477827 5.314785 4.596173e-06 5.406960e-07 399.684676 1.248864e+11
0.0164099745 2099.215680 3217616.551398 5.289791 4.588348e-06 5.245287e-07 401.678306 1.300185e+11
