X[m], Tg[K], Pg[Pa], Rhog[kg/m^3], Rd[m], Yf, Ug[m/s], HRR
0.0187335780 2824.522359 3131532.790544 3.805693 4.288326e-06 5.987842e-09 471.619529 9.212521e+10
0.0192845945 2837.380015 3125015.260093 3.779369 4.264444e-06 5.082275e-09 475.208587 8.322941e+10
0.0196695537 2845.520793 3120908.107239 3.762959 4.249695e-06 4.253118e-09 477.469278 7.511511e+10
0.0199111555 2850.211779 3118541.715568 3.753532 4.240962e-06 4.067758e-09 478.787075 6.915764e+10
0.0200941798 2853.566977 3116797.130344 3.746623 4.233942e-06 4.508279e-09 479.770629 6.838992e+10
0.0202772040 2856.872575 3114996.747775 3.739597 4.226317e-06 4.961526e-09 480.777648 7.246544e+10
0.0204602283 2860.218982 3113096.827232 3.732312 4.218110e-06 5.156319e-09 481.822663 7.726676e+10
0.0206432526 2863.657304 3111101.597406 3.724736 4.209374e-06 5.263110e-09 482.913525 8.008607e+10
0.0209025825 2868.731331 3108157.911719 3.713544 4.196166e-06 5.548661e-09 484.547838 8.020147e+10
0.0211619124 2874.086843 3105078.930651 3.701797 4.182054e-06 5.886526e-09 486.291171 8.303224e+10
0.0214212423 2879.749023 3101782.191340 3.689389 4.167089e-06 5.975543e-09 488.136145 9.294456e+10
0.0216805722 2885.676847 3098371.834584 3.676509 4.151311e-06 6.279981e-09 490.084452 8.688070e+10
0.0219399021 2891.943825 3094404.220300 3.662549 4.134752e-06 5.405493e-09 492.094437 1.397655e+11
0.0226002531 2908.680960 3084081.315986 3.625889 4.089486e-06 6.272062e-09 497.578273 1.101575e+11
0.0232606042 2926.300112 3073174.243192 3.587679 4.040089e-06 6.127547e-09 503.496335 1.129365e+11
0.0239209552 2944.406028 3061649.327995 3.548456 3.987166e-06 5.857389e-09 509.698629 1.195119e+11
0.0245813062 2962.546863 3049700.926718 3.509040 3.931309e-06 5.617802e-09 516.061597 1.206952e+11
0.0256848880 2991.800488 3029594.089388 3.445081 3.833151e-06 5.108621e-09 526.761382 1.165494e+11
0.0267884698 3018.997319 3009834.720355 3.384889 3.730506e-06 4.565262e-09 537.311235 1.127598e+11
0.0278920516 3043.657916 2990709.729731 3.329228 3.625106e-06 4.041252e-09 547.433279 1.034852e+11
0.0289956333 3065.590225 2972455.356616 3.278419 3.518190e-06 3.578477e-09 556.962791 9.639593e+10
0.0304542294 3090.478271 2950165.216443 3.218905 3.375691e-06 3.066230e-09 568.635666 8.412540e+10
0.0319128254 3111.215977 2930020.196605 3.167318 3.232637e-06 2.650171e-09 579.253766 7.490410e+10
0.0333714214 3128.506511 2911817.865194 3.122432 3.089060e-06 2.313335e-09 588.866026 6.718739e+10
0.0348300175 3142.964308 2895324.729927 3.083139 2.944456e-06 2.037824e-09 597.546230 6.194875e+10
0.0362886135 3155.055194 2880402.969200 3.048644 2.798065e-06 1.807892e-09 605.393601 5.249118e+10
0.0371268528 3161.094154 2872487.481556 3.030726 2.712795e-06 1.691502e-09 609.566221 4.859319e+10
0.0379650920 3166.549469 2865029.137893 3.014073 2.626458e-06 1.584200e-09 613.513107 4.500111e+10
0.0388033313 3171.478510 2858003.133417 2.998588 2.538864e-06 1.484558e-09 617.241782 4.167101e+10
0.0396415705 3175.929996 2851388.339795 2.984187 2.449805e-06 1.391230e-09 620.757912 3.879830e+10
0.0404798098 3179.945709 2845169.150191 2.970802 2.359050e-06 1.303252e-09 624.068923 3.624751e+10
0.0414500293 3184.108016 2838439.992578 2.956484 2.251543e-06 1.206734e-09 627.645971 3.393827e+10
0.0424202488 3187.790869 2832202.931185 2.943366 2.140943e-06 1.115031e-09 630.964735 3.053329e+10
