X[m], Tg[K], Pg[Pa], Rhog[kg/m^3], Rd[m], Yf, Ug[m/s], HRR
0.0000000000 1678.161158 3201560.765608 6.619945 2.500000e-06 0.000000e+00 316.229304 -3.653001e+03
0.0000285743 1682.205959 3207708.284358 6.616709 2.499999e-06 3.003749e-08 316.384044 -7.517398e+06
0.0000571486 1685.993284 3213693.524664 6.614164 2.499999e-06 4.831798e-08 316.505809 -1.356497e+07
0.0000857229 1689.537824 3219521.968939 6.612258 2.499998e-06 6.076939e-08 316.597032 -1.861614e+07
0.0001923427 1701.075059 3240031.281936 6.609248 2.499994e-06 9.547936e-08 316.741155 -3.732412e+07
0.0002989626 1710.059220 3258478.760345 6.611958 2.499987e-06 1.562104e-07 316.611862 -6.527192e+07
0.0004055824 1716.913917 3274879.061137 6.618705 2.499975e-06 1.991458e-07 316.290027 -1.032030e+08
0.0005122023 1722.055607 3289345.204659 6.628093 2.499957e-06 3.452638e-07 315.843200 -1.685654e+08
0.0006799186 1727.493596 3308630.063879 6.645963 2.499905e-06 5.971728e-07 314.995536 -3.390703e+08
0.0008423188 1730.030056 3322118.923164 6.663271 2.499806e-06 1.056479e-06 314.179612 -6.244291e+08
0.0009373968 1730.709679 3328403.039040 6.673250 2.499715e-06 1.482037e-06 313.711974 -8.709035e+08
0.0010324748 1731.127407 3334198.422570 6.683251 2.499587e-06 2.058325e-06 313.245729 -1.186718e+09
0.0011275528 1731.361806 3339699.403333 6.693362 2.499410e-06 2.814092e-06 312.776949 -1.563683e+09
0.0012226308 1731.436570 3344962.361082 6.703609 2.499170e-06 3.798487e-06 312.304922 -1.982834e+09
0.0014109909 1731.186109 3354759.762729 6.724168 2.498414e-06 6.508233e-06 311.368980 -2.526711e+09
0.0015554291 1730.686098 3361712.155679 6.739979 2.497519e-06 9.424898e-06 310.660953 -1.992131e+09
0.0016669947 1730.178323 3366749.666524 6.751966 2.496578e-06 1.223086e-05 310.132813 -2.661999e+08
0.0017785604 1729.643172 3371479.466372 6.763392 2.495365e-06 1.548336e-05 309.638923 3.360087e+09
0.0018639279 1729.266350 3374873.807938 6.771505 2.494227e-06 1.823812e-05 309.296084 7.834656e+09
0.0019492953 1728.976049 3378051.553914 6.778778 2.492883e-06 2.117253e-05 308.997372 1.400116e+10
0.0020346628 1728.825062 3380991.642535 6.784942 2.491313e-06 2.423527e-05 308.755296 2.192694e+10
0.0021200303 1728.865423 3383672.885860 6.789728 2.489500e-06 2.737001e-05 308.582203 3.155358e+10
0.0022802030 1729.617417 3387940.010208 6.794163 2.485393e-06 3.323973e-05 308.481542 5.356729e+10
0.0024403758 1731.465039 3391126.845967 6.791582 2.480297e-06 3.873614e-05 308.723590 7.918469e+10
0.0026005485 1734.580082 3393170.496209 6.781152 2.474160e-06 4.345256e-05 309.348463 1.070930e+11
0.0027607212 1739.061750 3394041.277957 6.762462 2.466959e-06 4.701627e-05 310.378923 1.365746e+11
0.0029208940 1744.983853 3393720.780329 6.735287 2.458702e-06 4.913130e-05 311.831952 1.673426e+11
0.0031371031 1755.439156 3391345.437604 6.684626 2.445940e-06 4.934688e-05 314.506193 2.122290e+11
0.0033533122 1769.046400 3386599.221615 6.616878 2.431435e-06 4.645949e-05 318.079976 2.629466e+11
0.0035195435 1781.942201 3381192.497579 6.552268 2.419202e-06 4.239785e-05 321.513223 3.070175e+11
0.0036857747 1797.253370 3374113.099062 6.475926 2.406138e-06 3.714898e-05 325.620404 3.559407e+11
0.0038520060 1815.252490 3365229.210748 6.387316 2.392354e-06 3.092716e-05 330.474001 4.083470e+11
0.0040182372 1836.086999 3354463.787729 6.286732 2.377977e-06 2.532244e-05 336.113979 4.624007e+11
0.0041530785 1854.985452 3344391.205848 6.197556 2.365975e-06 2.087048e-05 341.243839 5.017843e+11
0.0042879198 1875.320008 3333332.078776 6.104000 2.353752e-06 1.679850e-05 346.772769 5.305267e+11
0.0043917528 1891.669720 3324329.627384 6.030689 2.344241e-06 1.398702e-05 351.221706 5.458404e+11
0.0044955857 1908.383733 3315046.308571 5.957526 2.334683e-06 1.166086e-05 355.770060 5.577053e+11
0.0045994187 1925.313842 3305580.025170 5.885243 2.325116e-06 9.821365e-06 360.376278 5.635228e+11
0.0047032517 1942.375226 3295995.046308 5.814219 2.315578e-06 8.279443e-06 365.017056 5.660640e+11
0.0048070847 1959.546001 3286309.539604 5.744512 2.306110e-06 6.905479e-06 369.685879 5.704219e+11
0.0049109176 1976.840155 3276497.624491 5.675978 2.296762e-06 5.643471e-06 374.385023 5.820494e+11
0.0050284056 1996.565421 3265246.115652 5.599756 2.286399e-06 4.740916e-06 379.740913 5.833241e+11
0.0051458937 2016.378833 3253903.709335 5.525192 2.276368e-06 3.886986e-06 385.119318 5.799183e+11
0.0052633817 2036.114857 3242568.729000 5.452813 2.266814e-06 3.037685e-06 390.474070 5.772077e+11
0.0053808697 2055.529790 3231399.139441 5.383446 2.257970e-06 2.402934e-06 395.729909 5.608470e+11
0.0054983577 2074.245359 3220721.576813 5.318601 2.250491e-06 1.665405e-06 400.747523 5.178477e+11
0.0055397803 2080.526598 3217160.854239 5.297316 2.248094e-06 1.669769e-06 402.420407 5.073095e+11
0.0055812028 2086.636612 3213660.849018 5.276674 2.245465e-06 1.675540e-06 404.063754 5.112714e+11
0.0056226253 2092.725749 3210108.905507 5.256013 2.242509e-06 2.012220e-06 405.729210 5.229402e+11
0.0056640479 2098.922126 3206422.867966 5.234843 2.239282e-06 1.538211e-06 407.453395 5.364595e+11
0.0057054704 2105.251169 3202584.777977 5.213106 2.235863e-06 4.132802e-08 409.236101 5.973038e+11
0.0057468929 2111.688331 3198645.793682 5.191014 2.232285e-06 1.714462e-06 411.066534 5.592783e+11
0.0057798488 2116.847330 3195464.969158 5.173316 2.229321e-06 1.911951e-06 412.548822 5.653116e+11
0.0057897356 2118.403692 3194500.431785 5.167976 2.228410e-06 1.856635e-06 412.998795 5.716896e+11
0.0057996224 2119.967469 3193528.149352 5.162609 2.227488e-06 1.852241e-06 413.452054 5.741777e+11
0.0058095091 2121.537531 3192549.125732 5.157218 2.226557e-06 1.867995e-06 413.908303 5.764714e+11
0.0058193959 2123.113276 3191563.997106 5.151808 2.225616e-06 1.858148e-06 414.367357 5.793656e+11
0.0058292827 2124.694690 3190572.804637 5.146378 2.224667e-06 1.855945e-06 414.829174 5.822373e+11
0.0058722608 2131.634150 3186193.442201 5.122556 2.220434e-06 1.826626e-06 416.868443 5.943645e+11
0.0059152390 2138.677341 3181699.837979 5.098394 2.216034e-06 1.784920e-06 418.958704 6.061888e+11
0.0059582171 2145.821365 3177093.504458 5.073912 2.211473e-06 1.758972e-06 421.099048 6.175714e+11
0.0060011953 2153.063374 3172375.670204 5.049132 2.206756e-06 1.700604e-06 423.288721 6.289967e+11
0.0061357394 2176.320452 3156921.482010 4.969931 2.191054e-06 1.489193e-06 430.450495 6.635040e+11
0.0062702834 2200.396838 3140432.129128 4.888625 2.174011e-06 1.227236e-06 438.060861 6.963307e+11
0.0064048275 2225.169741 3122939.160683 4.805784 2.155757e-06 8.113779e-07 446.089945 7.320905e+11
